,Provincia,Comune,CAP
0,MB,Agrate Brianza,20864
1,LC,Airuno,23881
2,MB,Arcore,20862
3,MI,Arese,20020
4,CO,Arosio,22060
5,MI,Assago,20090
6,MI,Baranzate,20021
7,MB,Barlassina,20825
8,MB,Bernareggio,20881
9,MI,Bollate,20021
10,MB,Bovisio-Masciago,20813
11,MI,Bresso,20091
12,LC,Brivio,23883
13,MB,Brugherio,20861
14,MI,Buccinasco,20090
15,VA,Busto Arsizio,21052
16,CO,Cabiate,22060
17,LC,Calco,23885
18,MI,Canegrate,20010
19,CO,Cantù,22063
20,CO,Capiago Intimiano,22070
21,MB,Caponago,20867
22,MB,Carate Brianza,20841
23,MB,Carnate,20866
24,VA,Caronno Pertusella,21042
25,MI,Carugate,20061
26,CO,Carugo,22060
27,CO,Casnate con Bernate,22070
28,VA,Cassano Magnago,21012
29,VA,Castellanza,21053
30,LC,Cernusco Lombardone,23870
31,MI,Cernusco sul Naviglio,20063
32,MI,Cerro Maggiore,20023
33,MI,Cesano Boscone,20090
34,MB,Cesano Maderno,20811
35,MI,Cesate,20020
36,MI,Cinisello Balsamo,20092
37,MI,Cologno Monzese,20093
38,CO,Como,22100
39,MB,Concorezzo,20863
40,MI,Cormano,20032
41,MI,Corsico,20094
42,MI,Cusano Milanino,20095
43,MB,Desio,20832
44,CO,Figino Serenza,22060
45,CO,Fino Mornasco,22073
46,VA,Gallarate,21013
47,MI,Garbagnate Milanese,20024
48,VA,Gerenzano,21040
49,MB,Giussano,20833
50,CO,Grandate,22070
51,LC,Imbersago,23898
52,MI,Lainate,20020
53,MI,Legnano,20025
54,MB,Lentate sul Seveso,20823
55,MB,Limbiate,20812
56,CO,Lipomo,22030
57,MB,Lissone,20851
58,LC,Lomagna,23871
59,CO,Mariano Comense,22066
60,MB,Meda,20821
61,LC,Merate,23807
62,MI,Milano,20137
63,MI,Milano,20138
64,MI,Milano,20139
65,MI,Milano,20135
66,MI,Milano,20140
67,MI,Milano,20136
68,MI,Milano,20162
69,MI,Milano,20130
70,MI,Milano,20133
71,MI,Milano,20132
72,MI,Milano,20131
73,MI,Milano,20141
74,MI,Milano,20129
75,MI,Milano,20128
76,MI,Milano,20127
77,MI,Milano,20126
78,MI,Milano,20125
79,MI,Milano,20124
80,MI,Milano,20121
81,MI,Milano,20134
82,MI,Milano,20142
83,MI,Milano,20147
84,MI,Milano,20144
85,MI,Milano,20160
86,MI,Milano,20159
87,MI,Milano,20158
88,MI,Milano,20157
89,MI,Milano,20156
90,MI,Milano,20155
91,MI,Milano,20154
92,MI,Milano,20143
93,MI,Milano,20152
94,MI,Milano,20153
95,MI,Milano,20150
96,MI,Milano,20149
97,MI,Milano,20148
98,MI,Milano,20161
99,MI,Milano,20122
100,MI,Milano,20146
101,MI,Milano,20145
102,MI,Milano,20151
103,MI,Milano,20123
104,MB,Monza,20900
105,MB,Muggiò,20835
106,MI,Nerviano,20014
107,MB,Nova Milanese,20834
108,MI,Novate Milanese,20026
109,CO,Novedrate,22060
110,LC,Olgiate Molgora,23887
111,MI,Opera,20090
112,VA,Origgio,21040
113,LC,Osnago,23875
114,MI,Paderno Dugnano,20037
115,LC,Paderno d'Adda,23877
116,MI,Parabiago,20015
117,MI,Pero,20016
118,MI,Peschiera Borromeo,20068
119,MI,Pioltello,20096
120,MI,Pogliano Milanese,20010
121,MI,Rescaldina,20027
122,MI,Rho,20017
123,LC,Robbiate,23899
124,MB,Ronco Briantino,20885
125,MI,Rozzano,20089
126,VA,Samarate,21017
127,MI,San Donato Milanese,20097
128,MI,San Giorgio su Legnano,20010
129,MI,San Vittore Olona,20028
130,VA,Saronno,21047
131,MI,Segrate,20090
132,MI,Senago,20030
133,CO,Senna Comasco,22070
134,MB,Seregno,20831
135,MI,Sesto San Giovanni,20099
136,MI,Settimo Milanese,20019
137,MB,Seveso,20822
138,VA,Uboldo,21040
139,MB,Usmate Velate,20865
140,MB,Varedo,20814
141,MB,Vedano al Lambro,20854
142,MB,Verano Brianza,20843
143,LC,Verderio Inferiore,23879
144,LC,Verderio Superiore,23878
145,MB,Villasanta,20852
146,MB,Vimercate,20871
147,MI,Vimodrone,20090
