,index,Valore_max_mean,Valore_max_std,Data
0,0,6.347743589743589,3.055693765650004,2020-01-01
1,1,9.534527472527472,3.5912808650144457,2020-01-02
2,2,8.255362637362637,0.6238103828833079,2020-01-03
3,3,9.40752380952381,3.2962067871529945,2020-01-04
4,4,9.018952380952381,2.7982653843046648,2020-01-05
5,5,8.193619047619048,4.850001234307999,2020-01-06
6,6,5.769238095238095,2.992930854871328,2020-01-07
7,7,6.382190476190476,3.8612187107146356,2020-01-08
8,8,8.372761904761905,3.112576045205677,2020-01-09
9,9,7.413619047619048,4.394157087307702,2020-01-10
10,10,7.265860805860806,4.328162398324866,2020-01-11
11,11,7.54996336996337,3.6948071311428747,2020-01-12
12,12,9.129809523809524,2.644554058400103,2020-01-13
13,13,9.79152380952381,3.7419657759633136,2020-01-14
14,14,8.205714285714286,3.0451592565839944,2020-01-15
15,15,8.538571428571428,2.619209215793914,2020-01-16
16,16,8.815904761904761,2.30761196272717,2020-01-17
17,17,7.8318095238095236,3.747225949008835,2020-01-18
18,18,7.889809523809523,3.697437177019311,2020-01-19
19,19,7.403333333333333,2.712191046388297,2020-01-20
20,20,8.304,4.108061189258733,2020-01-21
21,21,8.163333333333334,2.430871693078147,2020-01-22
22,22,8.808095238095238,3.706878970330738,2020-01-23
23,23,9.850761904761905,1.967941060636876,2020-01-24
24,24,8.27552380952381,1.0947997880725584,2020-01-25
25,25,8.772380952380953,2.1632427158363545,2020-01-26
26,26,7.788666666666667,3.8769389765205746,2020-01-27
27,27,8.737721611721613,1.8535614100547004,2020-01-28
28,28,9.491802197802198,3.259777965018589,2020-01-29
29,29,8.039802197802198,3.6759744266814938,2020-01-30
30,30,8.338952380952382,4.875365959867052,2020-01-31
31,31,6.791677655677655,3.2096438964192435,2020-02-01
32,32,7.395238095238095,1.9005377267483141,2020-02-02
33,33,9.187142857142856,3.586735357054092,2020-02-03
34,34,10.462666666666667,3.387733652023451,2020-02-04
35,35,9.140666666666666,3.7117264778957004,2020-02-05
36,36,10.336857142857143,2.874456383585214,2020-02-06
37,37,10.397904761904762,2.503735725877237,2020-02-07
38,38,11.100666666666665,2.1643275599705487,2020-02-08
39,39,10.566761904761904,2.2555426917855312,2020-02-09
40,40,8.912666666666667,2.4626322633310673,2020-02-10
41,41,12.668908424908425,4.965871440686472,2020-02-11
42,42,11.357091575091575,4.30670486143893,2020-02-12
43,43,9.144571428571428,4.099423727545029,2020-02-13
44,44,11.897428571428572,3.869218847493111,2020-02-14
45,45,12.552630036630038,3.4356616687504786,2020-02-15
46,46,12.91086446886447,3.4590360617459357,2020-02-16
47,47,13.143274725274726,3.5911298313526387,2020-02-17
48,48,12.317113553113554,3.564499413058242,2020-02-18
49,49,11.575824175824176,3.3350964423029335,2020-02-19
50,50,11.70825641025641,2.515640020724303,2020-02-20
51,51,14.214142857142857,1.9910489435700998,2020-02-21
52,52,13.629794871794871,5.288195889850529,2020-02-22
53,53,11.369523809523809,5.467175488598227,2020-02-23
54,54,15.25504761904762,5.0844275235891,2020-02-24
55,55,14.310761904761904,5.28874297184333,2020-02-25
56,56,14.41095238095238,7.638672938609072,2020-02-26
57,57,13.59152380952381,7.851776366456418,2020-02-27
58,58,12.418857142857144,6.825516639221551,2020-02-28
59,59,10.44,,2020-02-29
60,60,12.555714285714286,7.9824859377284065,2020-03-01
61,61,12.42814652014652,7.1136261876770925,2020-03-02
62,62,11.965032967032968,6.028212518733948,2020-03-03
63,63,11.729809523809525,3.4787574605579725,2020-03-04
64,64,13.792798534798536,4.35107055197628,2020-03-05
65,65,12.015428571428572,2.7107784483277797,2020-03-06
66,66,14.289333333333335,3.3568735217862824,2020-03-07
67,67,15.940761904761905,1.7204294208976576,2020-03-08
68,68,15.973142857142857,3.7375220154972384,2020-03-09
69,69,16.74295238095238,4.410425000474134,2020-03-10
70,70,15.374095238095236,4.424850569494779,2020-03-11
71,71,15.601904761904763,1.5145022681334646,2020-03-12
72,72,17.39485714285714,1.368135820590472,2020-03-13
73,73,16.959047619047617,2.3746490610751954,2020-03-14
74,74,16.475238095238094,4.6443570104823255,2020-03-15
75,75,18.323714285714285,3.2711541681548333,2020-03-16
76,76,16.194666666666667,3.9811073306595617,2020-03-17
77,77,15.879238095238097,5.269510960197085,2020-03-18
78,78,15.264190476190475,6.697965325465173,2020-03-19
79,79,15.203809523809525,3.73310882160203,2020-03-20
80,80,14.926857142857141,4.537085152165931,2020-03-21
81,81,16.16790476190476,3.502155678877364,2020-03-22
82,82,15.302857142857144,4.695977001647263,2020-03-23
83,83,16.707142857142856,5.060707357367752,2020-03-24
84,84,17.691238095238095,5.941319184389411,2020-03-25
85,85,15.542000000000002,4.37043819053928,2020-03-26
86,86,16.366205128205127,1.6636913214937592,2020-03-27
87,87,18.609142857142857,2.2059117489126643,2020-03-28
88,88,19.924,4.069611047954417,2020-03-29
89,89,21.046666666666667,4.108321004245275,2020-03-30
90,90,19.710285714285714,6.7344753746248545,2020-03-31
91,91,20.636690476190477,5.773478405085702,2020-04-01
92,92,20.128011904761905,4.927712624236302,2020-04-02
93,93,18.398619047619047,4.150305661775745,2020-04-03
94,94,16.665416666666665,5.559831697462612,2020-04-04
95,95,18.19925,0.9731233279906468,2020-04-05
96,96,19.208785714285714,3.4038271489903953,2020-04-06
97,97,18.017845238095237,4.7531997965262605,2020-04-07
98,98,20.579250000000002,2.6376563678110516,2020-04-08
99,99,20.283690476190475,4.338965702812296,2020-04-09
100,100,20.08979761904762,5.604716778060532,2020-04-10
101,101,18.16745238095238,7.315080317662608,2020-04-11
102,102,19.16147619047619,5.059344933532659,2020-04-12
103,103,19.2345,4.412693480177384,2020-04-13
104,104,18.857059523809525,6.262533535390271,2020-04-14
105,105,18.349071428571428,4.1722652356618015,2020-04-15
106,106,21.164285714285715,4.01303023636809,2020-04-16
107,107,21.639464285714286,3.3046083598927796,2020-04-17
108,108,21.12032142857143,4.347214795739963,2020-04-18
109,109,21.27077380952381,3.709276306099928,2020-04-19
110,110,21.37439285714286,4.93270781830595,2020-04-20
111,111,20.963452380952383,5.318487105170838,2020-04-21
112,112,22.590261904761906,3.1549510639606426,2020-04-22
113,113,22.017809523809525,4.943286711767711,2020-04-23
114,114,22.168619047619046,4.208471825026375,2020-04-24
115,115,22.672,4.439217699871012,2020-04-25
116,116,20.802797619047617,4.9193198569535,2020-04-26
117,117,19.64764285714286,3.5330269974540576,2020-04-27
118,118,20.808309523809523,3.0482095228759234,2020-04-28
119,119,20.233630952380953,4.537628788003203,2020-04-29
120,120,21.256761904761905,1.5524632391279163,2020-04-30
121,121,18.843035714285712,3.9153034757727223,2020-05-01
122,122,20.766250000000003,4.431474357784531,2020-05-02
123,123,20.052738095238094,3.2039548376145888,2020-05-03
124,124,21.993895604395604,2.6533376203623593,2020-05-04
125,125,21.702660256410258,4.681256676440449,2020-05-05
126,126,21.780880952380954,4.514375683187756,2020-05-06
127,127,22.885380952380952,3.220847885227313,2020-05-07
128,128,22.669107142857143,6.017042772896612,2020-05-08
129,129,23.784238095238095,2.8545891583621192,2020-05-09
130,130,23.644226190476193,2.367855530566378,2020-05-10
131,131,19.955940476190477,4.267385085552474,2020-05-11
132,132,23.10236904761905,2.713545011847207,2020-05-12
133,133,22.402023809523808,3.7721865313534337,2020-05-13
134,134,22.21229761904762,2.8043630452762147,2020-05-14
135,135,20.80761904761905,4.4963829756756235,2020-05-15
136,136,22.91982142857143,3.5001315254077316,2020-05-16
137,137,24.548916666666667,3.487052997324646,2020-05-17
138,138,24.220559523809523,4.872116874420215,2020-05-18
139,139,22.744999999999997,4.022935746210792,2020-05-19
140,140,26.56090476190476,7.634346467536992,2020-05-20
141,141,25.851214285714285,1.8946632151861675,2020-05-21
142,142,24.768720695970696,4.330894999663732,2020-05-22
143,143,27.249583333333334,1.9376331943464742,2020-05-23
144,144,26.136738095238094,5.516646795132429,2020-05-24
145,145,27.16272619047619,2.1751953154998662,2020-05-25
146,146,26.659797619047616,2.733821883836867,2020-05-26
