,valore
2020-01-01,72.4444
2020-01-02,72.9073
2020-01-03,73.41
2020-01-04,73.9522
2020-01-05,74.5337
2020-01-06,75.1544
2020-01-07,75.8141
2020-01-08,76.5126
2020-01-09,77.2498
2020-01-10,78.0253
2020-01-11,78.8389
2020-01-12,79.6905
2020-01-13,80.5798
2020-01-14,81.5064
2020-01-15,82.4702
2020-01-16,83.4708
2020-01-17,84.508
2020-01-18,85.5815
2020-01-19,86.6908
2020-01-20,87.8358
2020-01-21,89.016
2020-01-22,90.2312
2020-01-23,91.4809
2020-01-24,92.7648
2020-01-25,94.0825
2020-01-26,95.4336
2020-01-27,96.8178
2020-01-28,98.2345
2020-01-29,99.6835
2020-01-30,101.1643
2020-01-31,102.6764
2020-02-01,104.2194
2020-02-02,105.7928
2020-02-03,107.3962
2020-02-04,109.0291
2020-02-05,110.691
2020-02-06,112.3814
2020-02-07,114.0999
2020-02-08,115.8459
2020-02-09,117.6189
2020-02-10,119.4184
2020-02-11,121.2439
2020-02-12,123.0948
2020-02-13,124.9705
2020-02-14,126.8706
2020-02-15,128.7945
2020-02-16,130.7415
2020-02-17,132.7111
2020-02-18,134.7028
2020-02-19,136.716
2020-02-20,138.75
2020-02-21,140.8043
2020-02-22,142.8782
2020-02-23,144.9712
2020-02-24,147.0826
2020-02-25,149.2118
2020-02-26,151.3582
2020-02-27,153.5211
2020-02-28,155.6999
2020-02-29,157.894
2020-03-01,160.1027
2020-03-02,162.3254
2020-03-03,164.5614
2020-03-04,166.8101
2020-03-05,169.0707
2020-03-06,171.3427
2020-03-07,173.6253
2020-03-08,175.9179
2020-03-09,178.2199
2020-03-10,180.5304
2020-03-11,182.8489
2020-03-12,185.1747
2020-03-13,187.507
2020-03-14,189.8452
2020-03-15,192.1887
2020-03-16,194.5366
2020-03-17,196.8884
2020-03-18,199.2433
2020-03-19,201.6006
2020-03-20,203.9597
2020-03-21,206.3198
2020-03-22,208.6802
2020-03-23,211.0403
2020-03-24,213.3994
2020-03-25,215.7567
2020-03-26,218.1116
2020-03-27,220.4634
2020-03-28,222.8113
2020-03-29,225.1548
2020-03-30,227.493
2020-03-31,229.8253
2020-04-01,232.1511
2020-04-02,234.4696
2020-04-03,236.7801
2020-04-04,239.0821
2020-04-05,241.3747
2020-04-06,243.6573
2020-04-07,245.9293
2020-04-08,248.1899
2020-04-09,250.4386
2020-04-10,252.6746
2020-04-11,254.8973
2020-04-12,257.106
2020-04-13,259.3001
2020-04-14,261.4789
2020-04-15,263.6418
2020-04-16,265.7882
2020-04-17,267.9174
2020-04-18,270.0288
2020-04-19,272.1218
2020-04-20,274.1957
2020-04-21,276.25
2020-04-22,278.284
2020-04-23,280.2972
2020-04-24,282.2889
2020-04-25,284.2585
2020-04-26,286.2055
2020-04-27,288.1294
2020-04-28,290.0295
2020-04-29,291.9052
2020-04-30,293.7561
2020-05-01,295.5816
2020-05-02,297.3811
2020-05-03,299.1541
2020-05-04,300.9001
2020-05-05,302.6186
2020-05-06,304.309
2020-05-07,305.9709
2020-05-08,307.6038
2020-05-09,309.2072
2020-05-10,310.7806
2020-05-11,312.3236
2020-05-12,313.8357
2020-05-13,315.3165
2020-05-14,316.7655
2020-05-15,318.1822
2020-05-16,319.5664
2020-05-17,320.9175
2020-05-18,322.2352
2020-05-19,323.5191
2020-05-20,324.7688
2020-05-21,325.984
2020-05-22,327.1642
2020-05-23,328.3092
2020-05-24,329.4185
2020-05-25,330.492
2020-05-26,331.5292
2020-05-27,332.5298
2020-05-28,333.4936
2020-05-29,334.4202
2020-05-30,335.3095
2020-05-31,336.1611
2020-06-01,336.9747
2020-06-02,337.7502
2020-06-03,338.4874
2020-06-04,339.1859
2020-06-05,339.8456
2020-06-06,340.4663
2020-06-07,341.0478
2020-06-08,341.59
2020-06-09,342.0927
2020-06-10,342.5556
2020-06-11,342.9788
2020-06-12,343.3621
2020-06-13,343.7053
2020-06-14,344.0084
2020-06-15,344.2712
2020-06-16,344.4938
2020-06-17,344.6759
2020-06-18,344.8177
2020-06-19,344.919
2020-06-20,344.9797
2020-06-21,345.0
2020-06-22,344.9797
2020-06-23,344.919
2020-06-24,344.8177
2020-06-25,344.6759
2020-06-26,344.4938
2020-06-27,344.2712
2020-06-28,344.0084
2020-06-29,343.7053
2020-06-30,343.3621
2020-07-01,342.9788
2020-07-02,342.5556
2020-07-03,342.0927
2020-07-04,341.59
2020-07-05,341.0478
2020-07-06,340.4663
2020-07-07,339.8456
2020-07-08,339.1859
2020-07-09,338.4874
2020-07-10,337.7502
2020-07-11,336.9747
2020-07-12,336.1611
2020-07-13,335.3095
2020-07-14,334.4202
2020-07-15,333.4936
2020-07-16,332.5298
2020-07-17,331.5292
2020-07-18,330.492
2020-07-19,329.4185
2020-07-20,328.3092
2020-07-21,327.1642
2020-07-22,325.984
2020-07-23,324.7688
2020-07-24,323.5191
2020-07-25,322.2352
2020-07-26,320.9175
2020-07-27,319.5664
2020-07-28,318.1822
2020-07-29,316.7655
2020-07-30,315.3165
2020-07-31,313.8357
2020-08-01,312.3236
2020-08-02,310.7806
2020-08-03,309.2072
2020-08-04,307.6038
2020-08-05,305.9709
2020-08-06,304.309
2020-08-07,302.6186
2020-08-08,300.9001
2020-08-09,299.1541
2020-08-10,297.3811
2020-08-11,295.5816
2020-08-12,293.7561
2020-08-13,291.9052
2020-08-14,290.0295
2020-08-15,288.1294
2020-08-16,286.2055
2020-08-17,284.2585
2020-08-18,282.2889
2020-08-19,280.2972
2020-08-20,278.284
2020-08-21,276.25
2020-08-22,274.1957
2020-08-23,272.1218
2020-08-24,270.0288
2020-08-25,267.9174
2020-08-26,265.7882
2020-08-27,263.6418
2020-08-28,261.4789
2020-08-29,259.3001
2020-08-30,257.106
2020-08-31,254.8973
2020-09-01,252.6746
2020-09-02,250.4386
2020-09-03,248.1899
2020-09-04,245.9293
2020-09-05,243.6573
2020-09-06,241.3747
2020-09-07,239.0821
2020-09-08,236.7801
2020-09-09,234.4696
2020-09-10,232.1511
2020-09-11,229.8253
2020-09-12,227.493
2020-09-13,225.1548
2020-09-14,222.8113
2020-09-15,220.4634
2020-09-16,218.1116
2020-09-17,215.7567
2020-09-18,213.3994
2020-09-19,211.0403
2020-09-20,208.6802
2020-09-21,206.3198
2020-09-22,203.9597
2020-09-23,201.6006
2020-09-24,199.2433
2020-09-25,196.8884
2020-09-26,194.5366
2020-09-27,192.1887
2020-09-28,189.8452
2020-09-29,187.507
2020-09-30,185.1747
2020-10-01,182.8489
2020-10-02,180.5304
2020-10-03,178.2199
2020-10-04,175.9179
2020-10-05,173.6253
2020-10-06,171.3427
2020-10-07,169.0707
2020-10-08,166.8101
2020-10-09,164.5614
2020-10-10,162.3254
2020-10-11,160.1027
2020-10-12,157.894
2020-10-13,155.6999
2020-10-14,153.5211
2020-10-15,151.3582
2020-10-16,149.2118
2020-10-17,147.0826
2020-10-18,144.9712
2020-10-19,142.8782
2020-10-20,140.8043
2020-10-21,138.75
2020-10-22,136.716
2020-10-23,134.7028
2020-10-24,132.7111
2020-10-25,130.7415
2020-10-26,128.7945
2020-10-27,126.8706
2020-10-28,124.9705
2020-10-29,123.0948
2020-10-30,121.2439
2020-10-31,119.4184
2020-11-01,117.6189
2020-11-02,115.8459
2020-11-03,114.0999
