Provincia,Codice Istat,Comune,Zona
LC,97001,Abbadia Lariana,C1
BG,16001,Adrara San Martino,C1
BG,16002,Adrara San Rocco,C1
BS,17003,Agnosine,C1
VA,12001,Agra,C1
BG,16248,Algua,C1
BG,16005,Alme',C1
BG,16006,Almenno San Bartolomeo,C1
BG,16007,Almenno San Salvatore,C1
BS,17005,Anfo,C1
VA,12003,Angera,C1
BS,17006,Angolo Terme,C1
VA,12004,Arcisate,C1
BG,16012,Ardesio,C1
CO,13011,Argegno,C1
BS,17007,Artogne,C1
CO,13013,Asso,C1
BG,16014,Averara,C1
BG,16015,Aviatico,C1
VA,12007,Azzio,C1
BG,16017,Azzone,C1
PV,18007,Bagnaria,C1
BS,17010,Bagolino,C1
LC,97004,Ballabio,C1
VA,12009,Bardello,C1
BS,17012,Barghe,C1
CO,13015,Barni,C1
LC,97007,Barzio,C1
VA,12010,Bedero Valcuvia,C1
BG,16022,Bedulita,C1
CO,13019,Bellagio,C1
LC,97008,Bellano,C1
CO,13021,Bene Lario,C1
BG,16023,Berbenno,C1
BS,17016,Berzo Demo,C1
BS,17017,Berzo Inferiore,C1
BG,16025,Berzo San Fermo,C1
VA,12011,Besano,C1
VA,12013,Besozzo,C1
VA,12014,Biandronno,C1
BG,16026,Bianzano,C1
BS,17018,Bienno,C1
BS,17019,Bione,C1
VA,12015,Bisuschio,C1
BG,16027,Blello,C1
CO,13025,Blessagno,C1
CO,13026,Blevio,C1
BG,16032,Borgo di Terzo,C1
PV,18016,Borgo Priolo,C1
PV,18017,Borgoratto Mormorolo,C1
BS,17022,Borno,C1
BG,16033,Bossico,C1
BS,17024,Bovegno,C1
BG,16035,Bracca,C1
PV,18021,Brallo di Pregola,C1
BG,16036,Branzi,C1
BS,17027,Braone,C1
VA,12017,Brebbia,C1
VA,12018,Bregano,C1
BG,16039,Brembilla,C1
BS,17028,Breno,C1
VA,12019,Brenta,C1
VA,12020,Brezzo di Bedero,C1
CO,13030,Brienno,C1
VA,12021,Brinzio,C1
BS,17030,Brione,C1
VA,12022,Brissago-Valtravaglia,C1
BG,16041,Brumano,C1
CO,13032,Brunate,C1
VA,12024,Brusimpiano,C1
VA,12027,Cadegliano-Viconago,C1
