"Informazioni cronologiche","Utilità","Chiarezza","Informatività","Bellezza","Valutazione complessiva","Note"
"2022/01/29 5:56:16 PM CET","1","4","3","5","2","scsdc"
"2022/01/29 5:56:40 PM CET","2","6","4","5","5","cccc"
"2022/01/29 5:56:16 PM CET","3","4","3","5","2","scsdc"
"2022/01/29 5:56:40 PM CET","1","6","4","5","5","cccc"
"2022/01/29 5:56:16 PM CET","1","4","3","5","2","scsdc"
"2022/01/29 5:56:40 PM CET","2","6","4","5","2","cccc"
"2022/01/29 5:56:16 PM CET","6","6","1","1","2","scsdc"
"2022/01/29 5:56:40 PM CET","2","6","4","5","5","cccc"
"2022/01/29 5:56:16 PM CET","1","4","3","5","2","scsdc"
"2022/01/29 5:56:40 PM CET","2","6","4","5","5","cccc"
"2022/01/29 5:56:16 PM CET","1","4","3","5","2","scsdc"
"2022/01/29 5:56:40 PM CET","2","6","4","5","5","cccc"
