"Informazioni cronologiche","Utilità","Chiarezza","Informatività","Bellezza","Valutazione complessiva","Note"
"2022/01/30 2:14:06 PM CET","6","5","6","6","6",""
"2022/01/30 3:36:58 PM CET","5","6","6","6","6",""
"2022/01/30 4:48:08 PM CET","4","5","6","5","5",""
"2022/01/30 5:00:49 PM CET","5","5","6","5","5",""
"2022/01/30 6:05:22 PM CET","5","3","6","6","6",""
"2022/01/30 7:41:42 PM CET","5","6","6","4","6",""
"2022/01/30 8:42:54 PM CET","5","4","6","6","5",""
"2022/01/30 9:49:08 PM CET","6","6","6","6","6",""
"2022/01/30 10:12:34 PM CET","6","6","6","5","6",""
"2022/01/30 10:23:45 PM CET","6","3","6","5","6",""
"2022/01/30 10:37:11 PM CET","6","5","6","5","6",""
"2022/01/30 10:45:42 PM CET","6","4","6","6","6",""
"2022/01/30 10:47:59 PM CET","5","4","6","6","5",""
"2022/01/31 8:05:13 AM CET","5","4","4","5","5",""
"2022/01/31 8:14:06 AM CET","6","5","6","6","6",""
"2022/01/31 8:36:58 AM CET","5","6","6","6","6",""
"2022/01/31 8:48:08 AM CET","6","5","6","5","5",""
"2022/01/31 9:00:49 AM CET","5","5","6","5","5",""
"2022/01/31 10:05:22 AM CET","5","4","6","6","6",""
"2022/01/31 10:41:42 AM CET","5","6","6","6","6","Complimenti per il lavoro"
"2022/01/31 10:42:54 AM CET","5","5","6","6","5",""
"2022/01/31 10:49:08 AM CET","6","6","6","6","6",""
"2022/01/31 11:12:34 AM CET","6","6","6","6","6",""
"2022/01/31 11:23:45 AM CET","6","4","6","5","6","Indicare gli elementi con cui è possibile interagire, anche solamente con una icona sopra le tabelle o grafici che al passaggio del mouse spiega i dati che si possono vedere."
"2022/01/31 2:02:13 PM CET","6","5","5","5","5",""
"2022/01/31 3:37:11 PM CET","6","5","5","5","6",""
"2022/01/31 3:45:42 PM CET","6","5","6","6","6",""
"2022/01/31 4:39:14 PM CET","6","5","5","5","5",""
