IdSensore,NomeTipoSensore,UnitaMisura,Idstazione,NomeStazione,Quota,Provincia,Comune,Storico,DataStart,DataStop,Utm_Nord,UTM_Est,lat,lng,location
17286,Biossido di Azoto,µg/m³,1374,Monza Parco,181,MB,Monza,N,01/05/2013,,5049780,521452,45.60123219955139,9.27507265782848,"(45.60123219955139, 9.27507265782848)"
17284,Ammoniaca,µg/m³,1374,Monza Parco,181,MB,Monza,N,08/02/2013,,5049780,521452,45.60123219955139,9.27507265782848,"(45.60123219955139, 9.27507265782848)"
17290,PM10 (SM2005),µg/m³,1374,Monza Parco,181,MB,Monza,N,15/02/2013,,5049780,521452,45.60123219955139,9.27507265782848,"(45.60123219955139, 9.27507265782848)"
17285,Ossidi di Azoto,µg/m³,1374,Monza Parco,181,MB,Monza,N,01/05/2013,,5049780,521452,45.60123219955139,9.27507265782848,"(45.60123219955139, 9.27507265782848)"
17288,Ozono,µg/m³,1374,Monza Parco,181,MB,Monza,N,09/02/2013,,5049780,521452,45.60123219955139,9.27507265782848,"(45.60123219955139, 9.27507265782848)"
10112,Ozono,µg/m³,698,Ceneselli v. Moro,13,RO,Ceneselli,S,28/11/2006,01/01/2017,4987161,686934,45.01325676849334,11.372344948058235,"(45.01325676849334, 11.372344948058235)"
12663,Cadmio,ng/m³,681,Moggio Loc. Penscei,1194,LC,Moggio,N,14/06/2008,,5084478,538586,45.91278752030292,9.497538167653424,"(45.91278752030292, 9.497538167653424)"
12531,PM10 (SM2005),µg/m³,1297,Spinadesco v.Battisti,48,CR,Spinadesco,N,16/02/2011,,5000087,573153,45.150468869856816,9.930596472272326,"(45.150468869856816, 9.930596472272326)"
5665,Biossido di Zolfo,µg/m³,595,Filago v.Don Milani,190,BG,Filago,N,07/12/1991,,5053519,543342,45.63386450908066,9.556084255790864,"(45.63386450908066, 9.556084255790864)"
6840,Ossidi di Azoto,µg/m³,658,Manerbio v.Solferino,66,BS,Manerbio,S,28/08/1992,03/03/2015,5022465,589673,45.34995949312804,10.144752235947312,"(45.34995949312804, 10.144752235947312)"
6226,Ossidi di Azoto,µg/m³,587,Casnigo via Europa,514,BG,Casnigo,S,08/11/1989,05/05/2005,5073819,567412,45.81463898053286,9.867700614310943,"(45.81463898053286, 9.867700614310943)"
6637,Particolato Totale Sospeso,µg/m³,502,Milano v.Juvara,122,MI,Milano,S,26/10/1976,12/02/1998,5035546,517377,45.473225708577175,9.222315138737468,"(45.473225708577175, 9.222315138737468)"
5796,Monossido di Carbonio,mg/m³,586,Costa Volpino v.Nazionale,192,BG,Costa Volpino,S,26/07/1993,12/09/2011,5075429,585212,45.82715793876258,10.09706172418631,"(45.82715793876258, 10.09706172418631)"
6240,Ossidi di Azoto,µg/m³,566,Olgiate Comasco v.Roma,404,CO,Olgiate Comasco,S,01/02/1995,15/04/2010,5070038,497388,45.78389725453634,8.966397886811311,"(45.78389725453634, 8.966397886811311)"
12640,Piombo,ng/m³,548,Milano v.Senato,118,MI,Milano,N,09/07/2008,,5035238,515435,45.470499014097,9.197460360112531,"(45.470499014097, 9.197460360112531)"
17122,Particelle sospese PM2.5,µg/m³,548,Milano v.Senato,118,MI,Milano,N,04/09/2012,,5035238,515435,45.470499014097,9.197460360112531,"(45.470499014097, 9.197460360112531)"
6656,Particolato Totale Sospeso,µg/m³,556,Gallarate  P.zza S.Lorenzo,240,VA,Gallarate,S,16/07/1991,16/12/1999,5056010,484229,45.65745982503037,8.797570832831466,"(45.65745982503037, 8.797570832831466)"
20004,BlackCarbon,µg/m³,705,Milano Pascal Città Studi,122,MI,Milano,N,30/09/2013,,5036190,518405,45.47899606168744,9.235491038497502,"(45.47899606168744, 9.235491038497502)"
6302,Ossidi di Azoto,µg/m³,525,Corsico v.le Italia,119,MI,Corsico,S,30/10/1989,30/07/2018,5031403,507619,45.43610851009912,9.097410841871474,"(45.43610851009912, 9.097410841871474)"
9993,Biossido di Azoto,µg/m³,682,Ferrera Erbognone ENI,88,PV,Ferrera Erbognone,N,21/01/2006,,4995567,490094,45.11350314482957,8.874064848882607,"(45.11350314482957, 8.874064848882607)"
9797,Benzene,µg/m³,670,Mantova S.Agnese,22,MN,Mantova,N,30/09/2005,,5002356,641122,45.16056833010576,10.79556411370788,"(45.16056833010576, 10.79556411370788)"
5738,Ozono,µg/m³,607,Abbadia Cerreto v. Fanfulla,64,LO,Abbadia Cerreto,N,10/04/2001,,5017500,545920,45.309502269282255,9.585790416120414,"(45.309502269282255, 9.585790416120414)"
5838,Monossido di Carbonio,mg/m³,528,Milano Verziere,116,MI,Milano,S,30/09/1988,04/07/2011,5034443,515270,45.463346740666545,9.195324807668857,"(45.463346740666545, 9.195324807668857)"
5596,Biossido di Azoto,µg/m³,593,Ciserano c.so Europa,159,BG,Ciserano,S,30/11/1994,30/07/2018,5048846,547278,45.591548429500484,9.606127731575759,"(45.591548429500484, 9.606127731575759)"
20497,Benzene,µg/m³,1801,Brescia v.Tartaglia,151,BS,Brescia,N,,,5043948,594556,45.542647891822845,10.211205215118259,"(45.542647891822845, 10.211205215118259)"
9921,Ossidi di Azoto,µg/m³,667,Marmirolo Bosco Fontana,22,MN,Marmirolo,S,05/06/2004,30/07/2018,5007554,636848,45.20817903938493,10.74263625117323,"(45.20817903938493, 10.74263625117323)"
5575,Biossido di Azoto,µg/m³,572,Morbegno v.Cortivacci,262,SO,Morbegno,N,13/01/1999,,5108901,543736,46.132282960003735,9.566179893984474,"(46.132282960003735, 9.566179893984474)"
10431,Ossidi di Azoto,µg/m³,1264,Sondrio v.Paribelli,290,SO,Sondrio,N,11/11/2008,,5113073,567873,46.167852440665115,9.879209924469903,"(46.167852440665115, 9.879209924469903)"
6392,Ossidi di Azoto,µg/m³,557,Lonate Pozzolo v.Veneto,204,VA,Lonate Pozzolo,S,05/12/1996,30/07/2018,5048975,479783,45.59402351710858,8.7407965765392,"(45.59402351710858, 8.7407965765392)"
6274,Ossidi di Azoto,µg/m³,598,San Rocco al Porto v.Matteotti,50,LO,San Rocco al Porto,N,24/01/2002,,4992297,555154,45.081986696978625,9.70078817718398,"(45.081986696978625, 9.70078817718398)"
6292,Ossidi di Azoto,µg/m³,527,Castano Primo v. Olimpiadi,175,MI,Castano Primo,S,01/01/1990,01/01/2017,5043625,482522,45.54594268367404,8.776104584370271,"(45.54594268367404, 8.776104584370271)"
20104,Particelle sospese PM2.5,µg/m³,592,Treviglio p.zza Insurrezione,191,BG,Treviglio,N,01/03/2015,,5040815,546236,45.51933498138716,9.592009994888425,"(45.51933498138716, 9.592009994888425)"
5963,Biossido di Azoto,µg/m³,631,Piadena v. Cavour,30,CR,Piadena,S,30/11/1992,30/07/2018,4998295,608506,45.12979322367744,10.379831668522419,"(45.12979322367744, 10.379831668522419)"
5812,Monossido di Carbonio,mg/m³,606,San Giuliano Milanese via Milano,97,MI,San Giuliano Milanese,N,13/01/2000,,5027003,522127,45.39619462552717,9.282700075557845,"(45.39619462552717, 9.282700075557845)"
5834,Monossido di Carbonio,mg/m³,548,Milano v.Senato,118,MI,Milano,N,01/05/1995,,5035238,515435,45.470499014097,9.197460360112531,"(45.470499014097, 9.197460360112531)"
5850,Monossido di Carbonio,mg/m³,557,Lonate Pozzolo v.Veneto,204,VA,Lonate Pozzolo,S,05/12/1996,04/01/2012,5048975,479783,45.59402351710858,8.7407965765392,"(45.59402351710858, 8.7407965765392)"
10288,Ozono,µg/m³,706,Lecco v.Sora,272,LC,Lecco,N,28/06/2007,,5078987,531045,45.86374884127965,9.399950344681852,"(45.86374884127965, 9.399950344681852)"
6356,Ossidi di Azoto,µg/m³,504,Sesto San Giovanni v. Cesare da Sesto,139,MI,Sesto San Giovanni,N,18/12/1980,,5042386,518435,45.53476576509224,9.236107923411636,"(45.53476576509224, 9.236107923411636)"
12691,Arsenico,ng/m³,560,Varese v.Copelli,383,VA,Varese,N,01/04/2008,,5073728,486035,45.816973233263674,8.820240707158211,"(45.816973233263674, 8.820240707158211)"
10179,Biossido di Azoto,µg/m³,704,Sermide e Felonica v. Dalla Chiesa,11,MN,Sermide e Felonica,S,29/11/2006,01/01/2017,4986023,680789,45.004613731114105,11.294014707706845,"(45.004613731114105, 11.294014707706845)"
12583,Ammoniaca,µg/m³,1303,Cremona v.Gerre Borghi,36,CR,Cremona,S,01/01/2012,01/01/2017,4995675,584111,45.10953938027215,10.069230734956498,"(45.10953938027215, 10.069230734956498)"
5616,Biossido di Zolfo,µg/m³,609,Casirate d'Adda v. Cimitero,108,BG,Casirate d'Adda,S,14/12/1984,22/02/2008,5038450,543458,45.49822713394494,9.556232262351761,"(45.49822713394494, 9.556232262351761)"
5595,Biossido di Azoto,µg/m³,592,Treviglio p.zza Insurrezione,191,BG,Treviglio,N,02/06/1991,,5040815,546236,45.51933498138716,9.592009994888425,"(45.51933498138716, 9.592009994888425)"
5809,Monossido di Carbonio,mg/m³,600,Lodi v.Vignati,80,LO,Lodi,N,30/12/1999,,5017060,538042,45.30601298752377,9.48526286320174,"(45.30601298752377, 9.48526286320174)"
5555,Biossido di Azoto,µg/m³,552,Varese v.Vidoletti,425,VA,Varese,N,24/12/1991,,5075945,484773,45.83690077655548,8.80392612667495,"(45.83690077655548, 8.80392612667495)"
10001,Ossidi di Azoto,µg/m³,683,Cassano d'Adda 2-v.Milano,133,MI,Cassano d'Adda,N,17/02/2006,,5041567,540293,45.52647254585104,9.515980483627096,"(45.52647254585104, 9.515980483627096)"
9873,Particelle sospese PM2.5,µg/m³,554,Saronno v.Santuario,212,VA,Saronno,N,11/12/2005,,5052520,503123,45.626218960836006,9.04006309067821,"(45.626218960836006, 9.04006309067821)"
9859,Monossido di Carbonio,mg/m³,673,Voghera v.Pozzoni,90,PV,Voghera,N,05/07/2005,,4982900,500665,44.99954598914026,9.008437381815693,"(44.99954598914026, 9.008437381815693)"
5627,Biossido di Zolfo,µg/m³,505,Legnano v.Diaz,199,MI,Legnano,S,20/11/1973,08/02/2011,5049180,493668,45.596133932132915,8.91881399306327,"(45.596133932132915, 8.91881399306327)"
5853,Monossido di Carbonio,mg/m³,560,Varese v.Copelli,383,VA,Varese,N,07/08/2003,,5073728,486035,45.816973233263674,8.820240707158211,"(45.816973233263674, 8.820240707158211)"
12596,Arsenico,ng/m³,609,Casirate d'Adda v. Cimitero,108,BG,Casirate d'Adda,N,24/04/2008,,5038450,543458,45.49822713394494,9.556232262351761,"(45.49822713394494, 9.556232262351761)"
10411,Monossido di Carbonio,mg/m³,1263,Villa di Serio v. Glera,280,BG,Villa di Serio,S,07/10/2008,12/09/2011,5064969,557447,45.73589144532835,9.738394788043442,"(45.73589144532835, 9.738394788043442)"
6953,PM10 (SM2005),µg/m³,659,Odolo v.Praes,349,BS,Odolo,N,23/06/2000,,5055661,608260,45.64604963372525,10.38929530279196,"(45.64604963372525, 10.38929530279196)"
6270,Ossidi di Azoto,µg/m³,602,Melegnano v.Predabissi,83,MI,Melegnano,S,13/01/2000,,5022361,525789,45.35428575070997,9.329243424113708,"(45.35428575070997, 9.329243424113708)"
5505,Biossido di Azoto,µg/m³,502,Milano v.Juvara,122,MI,Milano,S,06/05/1977,11/06/2007,5035546,517377,45.473225708577175,9.222315138737468,"(45.473225708577175, 9.222315138737468)"
10548,PM10 (SM2005),µg/m³,1269,Dalmine v.Verdi,207,BG,Dalmine,N,26/02/2010,,5055304,546847,45.64970251236247,9.601223338785262,"(45.64970251236247, 9.601223338785262)"
5835,Monossido di Carbonio,mg/m³,504,Sesto San Giovanni v. Cesare da Sesto,139,MI,Sesto San Giovanni,N,29/04/1990,,5042386,518435,45.53476576509224,9.236107923411636,"(45.53476576509224, 9.236107923411636)"
12674,Arsenico,ng/m³,1264,Sondrio v.Paribelli,290,SO,Sondrio,N,01/04/2008,,5113073,567873,46.167852440665115,9.879209924469903,"(46.167852440665115, 9.879209924469903)"
5549,Biossido di Azoto,µg/m³,546,Magenta v. F. Turati,137,MI,Magenta,N,22/04/1995,,5034328,490635,45.462415791106615,8.880210433125571,"(45.462415791106615, 8.880210433125571)"
5718,Ozono,µg/m³,546,Magenta v. F. Turati,137,MI,Magenta,N,29/07/1995,,5034328,490635,45.462415791106615,8.880210433125571,"(45.462415791106615, 8.880210433125571)"
10078,Ossidi di Azoto,µg/m³,695,Ponti sul Mincio v.San Martino,113,MN,Ponti sul Mincio,N,20/12/2006,,5030184,631718,45.41277169168634,10.683357343786835,"(45.41277169168634, 10.683357343786835)"
