,Data,NomeTipoSensore,Valore_interesse,Count_sensori,Indice testuale,Indice numerico
0,1996-01-01,Biossido di Azoto,107.41,30.0,Accettabile,3
1,1996-01-01,Biossido di Zolfo,35.47,30.0,Molto Buona,5
2,1996-01-01,Ozono,18.36875,16.0,Molto Buona,5
3,1996-01-01,PM10 (SM2005),,,ND,0
4,1996-01-01,Particelle sospese PM2.5,,,ND,0
5,1996-01-02,Biossido di Azoto,127.11562500000002,32.0,Accettabile,3
6,1996-01-02,Biossido di Zolfo,43.20333333333334,30.0,Molto Buona,5
7,1996-01-02,Ozono,14.45,16.0,Molto Buona,5
8,1996-01-02,PM10 (SM2005),,,ND,0
9,1996-01-02,Particelle sospese PM2.5,,,ND,0
10,1996-01-03,Biossido di Azoto,152.32187499999998,32.0,Accettabile,3
11,1996-01-03,Biossido di Zolfo,51.13,30.0,Molto Buona,5
12,1996-01-03,Ozono,18.831249999999997,16.0,Molto Buona,5
13,1996-01-03,PM10 (SM2005),,,ND,0
14,1996-01-03,Particelle sospese PM2.5,,,ND,0
15,1996-01-04,Biossido di Azoto,120.6878787878788,33.0,Accettabile,3
16,1996-01-04,Biossido di Zolfo,41.473333333333336,30.0,Molto Buona,5
17,1996-01-04,Ozono,13.700000000000001,16.0,Molto Buona,5
18,1996-01-04,PM10 (SM2005),,,ND,0
19,1996-01-04,Particelle sospese PM2.5,,,ND,0
20,1996-01-05,Biossido di Azoto,79.2375,32.0,Buona,4
21,1996-01-05,Biossido di Zolfo,39.17,30.0,Molto Buona,5
22,1996-01-05,Ozono,12.53125,16.0,Molto Buona,5
23,1996-01-05,PM10 (SM2005),,,ND,0
24,1996-01-05,Particelle sospese PM2.5,,,ND,0
25,1996-01-06,Biossido di Azoto,83.87096774193546,31.0,Buona,4
26,1996-01-06,Biossido di Zolfo,28.224137931034488,29.0,Molto Buona,5
27,1996-01-06,Ozono,12.924999999999999,16.0,Molto Buona,5
28,1996-01-06,PM10 (SM2005),,,ND,0
29,1996-01-06,Particelle sospese PM2.5,,,ND,0
30,1996-01-07,Biossido di Azoto,78.7,31.0,Buona,4
31,1996-01-07,Biossido di Zolfo,18.98275862068966,29.0,Molto Buona,5
32,1996-01-07,Ozono,12.125,16.0,Molto Buona,5
33,1996-01-07,PM10 (SM2005),,,ND,0
34,1996-01-07,Particelle sospese PM2.5,,,ND,0
35,1996-01-08,Biossido di Azoto,155.21212121212125,33.0,Accettabile,3
36,1996-01-08,Biossido di Zolfo,67.07333333333331,30.0,Molto Buona,5
37,1996-01-08,Ozono,19.04375,16.0,Molto Buona,5
38,1996-01-08,PM10 (SM2005),,,ND,0
39,1996-01-08,Particelle sospese PM2.5,,,ND,0
40,1996-01-09,Biossido di Azoto,221.969696969697,33.0,Scarsa,2
41,1996-01-09,Biossido di Zolfo,82.18666666666668,30.0,Molto Buona,5
42,1996-01-09,Ozono,18.499999999999996,16.0,Molto Buona,5
43,1996-01-09,PM10 (SM2005),,,ND,0
44,1996-01-09,Particelle sospese PM2.5,,,ND,0
45,1996-01-10,Biossido di Azoto,121.46969696969697,33.0,Accettabile,3
46,1996-01-10,Biossido di Zolfo,39.67666666666667,30.0,Molto Buona,5
47,1996-01-10,Ozono,11.943749999999998,16.0,Molto Buona,5
48,1996-01-10,PM10 (SM2005),,,ND,0
49,1996-01-10,Particelle sospese PM2.5,,,ND,0
50,1996-01-11,Biossido di Azoto,113.91818181818182,33.0,Accettabile,3
51,1996-01-11,Biossido di Zolfo,35.9,29.0,Molto Buona,5
52,1996-01-11,Ozono,16.7,16.0,Molto Buona,5
53,1996-01-11,PM10 (SM2005),,,ND,0
54,1996-01-11,Particelle sospese PM2.5,,,ND,0
55,1996-01-12,Biossido di Azoto,95.24242424242426,33.0,Buona,4
56,1996-01-12,Biossido di Zolfo,29.293103448275854,29.0,Molto Buona,5
57,1996-01-12,Ozono,11.543750000000001,16.0,Molto Buona,5
58,1996-01-12,PM10 (SM2005),,,ND,0
59,1996-01-12,Particelle sospese PM2.5,,,ND,0
60,1996-01-13,Biossido di Azoto,108.73333333333333,33.0,Accettabile,3
61,1996-01-13,Biossido di Zolfo,39.64827586206897,29.0,Molto Buona,5
62,1996-01-13,Ozono,13.073333333333332,15.0,Molto Buona,5
63,1996-01-13,PM10 (SM2005),,,ND,0
64,1996-01-13,Particelle sospese PM2.5,,,ND,0
65,1996-01-14,Biossido di Azoto,127.0969696969697,33.0,Accettabile,3
66,1996-01-14,Biossido di Zolfo,39.08275862068967,29.0,Molto Buona,5
67,1996-01-14,Ozono,12.193333333333332,15.0,Molto Buona,5
68,1996-01-14,PM10 (SM2005),,,ND,0
69,1996-01-14,Particelle sospese PM2.5,,,ND,0
70,1996-01-15,Biossido di Azoto,85.46666666666665,33.0,Buona,4
71,1996-01-15,Biossido di Zolfo,33.762068965517244,29.0,Molto Buona,5
72,1996-01-15,Ozono,32.86,15.0,Molto Buona,5
73,1996-01-15,PM10 (SM2005),,,ND,0
74,1996-01-15,Particelle sospese PM2.5,,,ND,0
75,1996-01-16,Biossido di Azoto,159.61250000000004,32.0,Accettabile,3
76,1996-01-16,Biossido di Zolfo,78.78965517241377,29.0,Molto Buona,5
77,1996-01-16,Ozono,20.046666666666667,15.0,Molto Buona,5
78,1996-01-16,PM10 (SM2005),,,ND,0
79,1996-01-16,Particelle sospese PM2.5,,,ND,0
80,1996-01-17,Biossido di Azoto,162.56129032258065,31.0,Accettabile,3
81,1996-01-17,Biossido di Zolfo,49.98333333333333,30.0,Molto Buona,5
82,1996-01-17,Ozono,22.00625,16.0,Molto Buona,5
83,1996-01-17,PM10 (SM2005),,,ND,0
84,1996-01-17,Particelle sospese PM2.5,,,ND,0
85,1996-01-18,Biossido di Azoto,131.115625,32.0,Accettabile,3
86,1996-01-18,Biossido di Zolfo,52.52758620689655,29.0,Molto Buona,5
87,1996-01-18,Ozono,21.253333333333334,15.0,Molto Buona,5
88,1996-01-18,PM10 (SM2005),,,ND,0
89,1996-01-18,Particelle sospese PM2.5,,,ND,0
90,1996-01-19,Biossido di Azoto,208.60606060606057,33.0,Scarsa,2
91,1996-01-19,Biossido di Zolfo,77.61333333333336,30.0,Molto Buona,5
92,1996-01-19,Ozono,20.09375,16.0,Molto Buona,5
93,1996-01-19,PM10 (SM2005),,,ND,0
94,1996-01-19,Particelle sospese PM2.5,,,ND,0
95,1996-01-20,Biossido di Azoto,153.44687499999998,32.0,Accettabile,3
96,1996-01-20,Biossido di Zolfo,70.70333333333333,30.0,Molto Buona,5
97,1996-01-20,Ozono,14.9125,16.0,Molto Buona,5
98,1996-01-20,PM10 (SM2005),,,ND,0
99,1996-01-20,Particelle sospese PM2.5,,,ND,0
100,1996-01-21,Biossido di Azoto,114.32258064516128,31.0,Accettabile,3
101,1996-01-21,Biossido di Zolfo,60.806896551724144,29.0,Molto Buona,5
102,1996-01-21,Ozono,16.5625,16.0,Molto Buona,5
103,1996-01-21,PM10 (SM2005),,,ND,0
104,1996-01-21,Particelle sospese PM2.5,,,ND,0
105,1996-01-22,Biossido di Azoto,94.33225806451613,31.0,Buona,4
106,1996-01-22,Biossido di Zolfo,55.68965517241379,29.0,Molto Buona,5
107,1996-01-22,Ozono,13.568749999999998,16.0,Molto Buona,5
108,1996-01-22,PM10 (SM2005),,,ND,0
109,1996-01-22,Particelle sospese PM2.5,,,ND,0
110,1996-01-23,Biossido di Azoto,99.20312500000003,32.0,Buona,4
111,1996-01-23,Biossido di Zolfo,36.699999999999996,29.0,Molto Buona,5
112,1996-01-23,Ozono,13.2625,16.0,Molto Buona,5
113,1996-01-23,PM10 (SM2005),,,ND,0
114,1996-01-23,Particelle sospese PM2.5,,,ND,0
115,1996-01-24,Biossido di Azoto,104.33939393939391,33.0,Accettabile,3
116,1996-01-24,Biossido di Zolfo,28.71379310344827,29.0,Molto Buona,5
117,1996-01-24,Ozono,11.287499999999998,16.0,Molto Buona,5
118,1996-01-24,PM10 (SM2005),,,ND,0
119,1996-01-24,Particelle sospese PM2.5,,,ND,0
120,1996-01-25,Biossido di Azoto,93.82727272727274,33.0,Buona,4
121,1996-01-25,Biossido di Zolfo,24.699999999999996,29.0,Molto Buona,5
122,1996-01-25,Ozono,10.2625,16.0,Molto Buona,5
123,1996-01-25,PM10 (SM2005),,,ND,0
124,1996-01-25,Particelle sospese PM2.5,,,ND,0
125,1996-01-26,Biossido di Azoto,85.54242424242425,33.0,Buona,4
126,1996-01-26,Biossido di Zolfo,28.633333333333336,30.0,Molto Buona,5
127,1996-01-26,Ozono,9.85,16.0,Molto Buona,5
128,1996-01-26,PM10 (SM2005),,,ND,0
129,1996-01-26,Particelle sospese PM2.5,,,ND,0
130,1996-01-27,Biossido di Azoto,95.5909090909091,33.0,Buona,4
131,1996-01-27,Biossido di Zolfo,40.90666666666666,30.0,Molto Buona,5
132,1996-01-27,Ozono,13.356250000000003,16.0,Molto Buona,5
133,1996-01-27,PM10 (SM2005),,,ND,0
134,1996-01-27,Particelle sospese PM2.5,,,ND,0
135,1996-01-28,Biossido di Azoto,110.36363636363639,33.0,Accettabile,3
136,1996-01-28,Biossido di Zolfo,39.693333333333335,30.0,Molto Buona,5
137,1996-01-28,Ozono,12.50625,16.0,Molto Buona,5
138,1996-01-28,PM10 (SM2005),,,ND,0
139,1996-01-28,Particelle sospese PM2.5,,,ND,0
140,1996-01-29,Biossido di Azoto,112.3181818181818,33.0,Accettabile,3
141,1996-01-29,Biossido di Zolfo,46.00333333333333,30.0,Molto Buona,5
142,1996-01-29,Ozono,13.4,16.0,Molto Buona,5
143,1996-01-29,PM10 (SM2005),,,ND,0
144,1996-01-29,Particelle sospese PM2.5,,,ND,0
145,1996-01-30,Biossido di Azoto,90.7272727272727,33.0,Buona,4
146,1996-01-30,Biossido di Zolfo,54.353333333333346,30.0,Molto Buona,5
147,1996-01-30,Ozono,26.193749999999998,16.0,Molto Buona,5
148,1996-01-30,PM10 (SM2005),,,ND,0
149,1996-01-30,Particelle sospese PM2.5,,,ND,0
150,1996-01-31,Biossido di Azoto,101.16562499999999,32.0,Accettabile,3
151,1996-01-31,Biossido di Zolfo,45.38333333333335,30.0,Molto Buona,5
152,1996-01-31,Ozono,43.881249999999994,16.0,Molto Buona,5
153,1996-01-31,PM10 (SM2005),,,ND,0
154,1996-01-31,Particelle sospese PM2.5,,,ND,0
155,1996-02-01,Biossido di Azoto,106.41250000000001,32.0,Accettabile,3
156,1996-02-01,Biossido di Zolfo,56.943333333333335,30.0,Molto Buona,5
157,1996-02-01,Ozono,15.431249999999997,16.0,Molto Buona,5
158,1996-02-01,PM10 (SM2005),,,ND,0
159,1996-02-01,Particelle sospese PM2.5,,,ND,0
160,1996-02-02,Biossido di Azoto,152.73939393939395,33.0,Accettabile,3
161,1996-02-02,Biossido di Zolfo,51.11666666666667,30.0,Molto Buona,5
162,1996-02-02,Ozono,13.399999999999999,16.0,Molto Buona,5
163,1996-02-02,PM10 (SM2005),,,ND,0
164,1996-02-02,Particelle sospese PM2.5,,,ND,0
165,1996-02-03,Biossido di Azoto,130.15757575757576,33.0,Accettabile,3
166,1996-02-03,Biossido di Zolfo,50.6,30.0,Molto Buona,5
167,1996-02-03,Ozono,22.712499999999995,16.0,Molto Buona,5
168,1996-02-03,PM10 (SM2005),,,ND,0
169,1996-02-03,Particelle sospese PM2.5,,,ND,0
170,1996-02-04,Biossido di Azoto,118.5,33.0,Accettabile,3
171,1996-02-04,Biossido di Zolfo,34.15666666666666,30.0,Molto Buona,5
172,1996-02-04,Ozono,12.85625,16.0,Molto Buona,5
173,1996-02-04,PM10 (SM2005),,,ND,0
174,1996-02-04,Particelle sospese PM2.5,,,ND,0
175,1996-02-05,Biossido di Azoto,102.63636363636361,33.0,Accettabile,3
176,1996-02-05,Biossido di Zolfo,37.15,30.0,Molto Buona,5
177,1996-02-05,Ozono,37.168749999999996,16.0,Molto Buona,5
178,1996-02-05,PM10 (SM2005),,,ND,0
179,1996-02-05,Particelle sospese PM2.5,,,ND,0
180,1996-02-06,Biossido di Azoto,94.89696969696969,33.0,Buona,4
181,1996-02-06,Biossido di Zolfo,38.96,30.0,Molto Buona,5
182,1996-02-06,Ozono,36.4375,16.0,Molto Buona,5
183,1996-02-06,PM10 (SM2005),,,ND,0
184,1996-02-06,Particelle sospese PM2.5,,,ND,0
185,1996-02-07,Biossido di Azoto,105.53333333333332,33.0,Accettabile,3
186,1996-02-07,Biossido di Zolfo,45.713793103448275,29.0,Molto Buona,5
187,1996-02-07,Ozono,28.93125,16.0,Molto Buona,5
188,1996-02-07,PM10 (SM2005),,,ND,0
189,1996-02-07,Particelle sospese PM2.5,,,ND,0
190,1996-02-08,Biossido di Azoto,118.39090909090906,33.0,Accettabile,3
191,1996-02-08,Biossido di Zolfo,68.64482758620689,29.0,Molto Buona,5
192,1996-02-08,Ozono,37.12500000000001,16.0,Molto Buona,5
193,1996-02-08,PM10 (SM2005),,,ND,0
194,1996-02-08,Particelle sospese PM2.5,,,ND,0
195,1996-02-09,Biossido di Azoto,150.15454545454546,33.0,Accettabile,3
196,1996-02-09,Biossido di Zolfo,78.71724137931035,29.0,Molto Buona,5
197,1996-02-09,Ozono,51.318749999999994,16.0,Molto Buona,5
198,1996-02-09,PM10 (SM2005),,,ND,0
199,1996-02-09,Particelle sospese PM2.5,,,ND,0
200,1996-02-10,Biossido di Azoto,126.303125,32.0,Accettabile,3
201,1996-02-10,Biossido di Zolfo,54.97142857142858,28.0,Molto Buona,5
202,1996-02-10,Ozono,20.9875,16.0,Molto Buona,5
203,1996-02-10,PM10 (SM2005),,,ND,0
204,1996-02-10,Particelle sospese PM2.5,,,ND,0
205,1996-02-11,Biossido di Azoto,106.18484848484847,33.0,Accettabile,3
206,1996-02-11,Biossido di Zolfo,52.04827586206897,29.0,Molto Buona,5
207,1996-02-11,Ozono,34.699999999999996,16.0,Molto Buona,5
208,1996-02-11,PM10 (SM2005),,,ND,0
209,1996-02-11,Particelle sospese PM2.5,,,ND,0
210,1996-02-12,Biossido di Azoto,131.3181818181818,33.0,Accettabile,3
