,Data,Biossido di Azoto_Count_sensori,Biossido di Azoto_Indice numerico,Biossido di Azoto_Indice testuale,Biossido di Azoto_Valore_interesse,Biossido di Azoto_Valore_interesse_std,Biossido di Zolfo_Count_sensori,Biossido di Zolfo_Indice numerico,Biossido di Zolfo_Indice testuale,Biossido di Zolfo_Valore_interesse,Biossido di Zolfo_Valore_interesse_std,Ozono_Count_sensori,Ozono_Indice numerico,Ozono_Indice testuale,Ozono_Valore_interesse,Ozono_Valore_interesse_std,PM10 (SM2005)_Count_sensori,PM10 (SM2005)_Indice numerico,PM10 (SM2005)_Indice testuale,PM10 (SM2005)_Valore_interesse,PM10 (SM2005)_Valore_interesse_std,Particelle sospese PM2.5_Count_sensori,Particelle sospese PM2.5_Indice numerico,Particelle sospese PM2.5_Indice testuale,Particelle sospese PM2.5_Valore_interesse,Particelle sospese PM2.5_Valore_interesse_std,IQA_numerico,IQA
0,1996-01-01,30,2,Accettabile,107.4,21.8,30,4,Molto Buona,35.5,26.7,16,4,Molto Buona,18.4,8.8,,,ND,,,,,ND,,,2,Accettabile
1,1996-01-02,32,2,Accettabile,127.1,28.5,30,4,Molto Buona,43.2,24.7,16,4,Molto Buona,14.4,12.0,,,ND,,,,,ND,,,2,Accettabile
2,1996-01-03,32,2,Accettabile,152.3,27.9,30,4,Molto Buona,51.1,39.6,16,4,Molto Buona,18.8,16.0,,,ND,,,,,ND,,,2,Accettabile
3,1996-01-04,33,2,Accettabile,120.7,22.1,30,4,Molto Buona,41.5,20.0,16,4,Molto Buona,13.7,10.4,,,ND,,,,,ND,,,2,Accettabile
4,1996-01-05,32,3,Buona,79.2,12.5,30,4,Molto Buona,39.2,14.9,16,4,Molto Buona,12.5,8.9,,,ND,,,,,ND,,,3,Buona
5,1996-01-06,31,3,Buona,83.9,17.1,29,4,Molto Buona,28.2,18.1,16,4,Molto Buona,12.9,10.7,,,ND,,,,,ND,,,3,Buona
6,1996-01-07,31,3,Buona,78.7,15.8,29,4,Molto Buona,19.0,13.9,16,4,Molto Buona,12.1,8.3,,,ND,,,,,ND,,,3,Buona
7,1996-01-08,33,2,Accettabile,155.2,38.1,30,4,Molto Buona,67.1,39.7,16,4,Molto Buona,19.0,12.8,,,ND,,,,,ND,,,2,Accettabile
8,1996-01-09,33,1,Scarsa,222.0,69.3,30,4,Molto Buona,82.2,56.6,16,4,Molto Buona,18.5,16.7,,,ND,,,,,ND,,,1,Scarsa
9,1996-01-10,33,2,Accettabile,121.5,24.5,30,4,Molto Buona,39.7,22.3,16,4,Molto Buona,11.9,9.7,,,ND,,,,,ND,,,2,Accettabile
10,1996-01-11,33,2,Accettabile,113.9,25.8,29,4,Molto Buona,35.9,24.4,16,4,Molto Buona,16.7,8.7,,,ND,,,,,ND,,,2,Accettabile
