Provincia,Codice Istat,Comune,Zona,Residenti 2008,Superficie (ha)
BG,16009,AMBIVERE,A,2341,327
BG,16013,ARZAGO D'ADDA,A,2836,944
BG,16018,BAGNATICA,A,4119,639
BG,16020,BARIANO,A,4396,714
BG,16021,BARZANO',A,5178,356
BG,16028,BOLGARE,A,5538,859
BG,16030,BONATE SOPRA,A,8637,605
BG,16031,BONATE SOTTO,A,6538,634
BG,16034,BOTTANUCO,A,5243,581
BG,16038,BREMBATE DI SOPRA,A,7768,439
BG,16040,BRIGNANO GERA D'ADDA,A,5798,1201
BG,16043,CALCINATE,A,5791,1517
BG,16044,CALCIO,A,5329,1574
BG,16046,CALUSCO D'ADDA,A,8320,853
BG,16047,CALVENZANO,A,3930,660
BG,16051,CAPRIATE SAN GERVASO,A,7631,599
BG,16052,CAPRINO BERGAMASCO,A,3121,873
BG,16053,CARAVAGGIO,A,16112,3342
BG,16057,CARVICO,A,4633,452
BG,16059,CASIRATE D'ADDA,A,3920,1038
BG,16063,CASTEL ROZZONE,A,2879,169
BG,16062,CASTELLI CALEPIO,A,9928,985
BG,16066,CAVERNAGO,A,2340,775
BG,16068,CENATE SOPRA,A,2518,699
BG,16069,CENATE SOTTO,A,3416,464
BG,16072,CHIGNOLO D'ISOLA,A,3159,543
BG,16073,CHIUDUNO,A,5775,681
BG,16074,CISANO BERGAMASCO,A,6303,763
BG,16076,CIVIDATE AL PIANO,A,5188,995
BG,16079,COLOGNO AL SERIO,A,10649,1801
BG,16081,COMUN NUOVO,A,4019,672
BG,16083,CORTENUOVA,A,1928,722
BG,16084,COSTA DI MEZZATE,A,3326,525
BG,16247,COSTA MASNAGA,A,4770,555
BG,16087,COVO,A,4092,1294
BG,16096,FARA GERA D'ADDA,A,7933,1087
BG,16097,FARA OLIVANA CON SOLA,A,1326,515
BG,16105,FORNOVO SAN GIOVANNI,A,3239,692
BG,16113,GHISALBA,A,5828,1058
BG,16114,GORLAGO,A,4993,573
BG,16120,GRUMELLO DEL MONTE,A,7260,1010
BG,16122,ISSO,A,680,508
BG,16126,LEVATE,A,3805,545
